Método;Entrada;Tempo;Execução;TipoOrdenacao;N
MERGESORT;d100;6.171e-06;1;Decrescente;100
QUICKSORT;d100;1.786e-06;1;Decrescente;100
HEAPSORT;d100;7.002e-06;1;Decrescente;100
MERGESORT;d1000;4.9865e-05;1;Decrescente;1000
QUICKSORT;d1000;1.6533e-05;1;Decrescente;1000
HEAPSORT;d1000;0.000110594;1;Decrescente;1000
MERGESORT;d10000;0.000633511;1;Decrescente;10000
QUICKSORT;d10000;0.00022064;1;Decrescente;10000
HEAPSORT;d10000;0.00141828;1;Decrescente;10000
MERGESORT;d100000;0.00651682;1;Decrescente;100000
QUICKSORT;d100000;0.00213455;1;Decrescente;100000
HEAPSORT;d100000;0.0170693;1;Decrescente;100000
MERGESORT;d1000000;0.0691937;1;Decrescente;1000000
QUICKSORT;d1000000;0.0188421;1;Decrescente;1000000
HEAPSORT;d1000000;0.199078;1;Decrescente;1000000
MERGESORT;d1250000;0.0864988;1;Decrescente;1250000
QUICKSORT;d1250000;0.0250192;1;Decrescente;1250000
HEAPSORT;d1250000;0.251504;1;Decrescente;1250000
MERGESORT;d15000;0.000926108;1;Decrescente;15000
QUICKSORT;d15000;0.000286915;1;Decrescente;15000
HEAPSORT;d15000;0.0022634;1;Decrescente;15000
MERGESORT;d1500000;0.105226;1;Decrescente;1500000
QUICKSORT;d1500000;0.0317407;1;Decrescente;1500000
HEAPSORT;d1500000;0.304483;1;Decrescente;1500000
MERGESORT;d200;1.0447e-05;1;Decrescente;200
QUICKSORT;d200;7.472e-06;1;Decrescente;200
HEAPSORT;d200;3.7724e-05;1;Decrescente;200
MERGESORT;d2000;0.000105689;1;Decrescente;2000
QUICKSORT;d2000;3.7155e-05;1;Decrescente;2000
HEAPSORT;d2000;0.000244485;1;Decrescente;2000
MERGESORT;d200000;0.0133038;1;Decrescente;200000
QUICKSORT;d200000;0.00371883;1;Decrescente;200000
HEAPSORT;d200000;0.0366987;1;Decrescente;200000
MERGESORT;d2000000;0.140206;1;Decrescente;2000000
QUICKSORT;d2000000;0.0396283;1;Decrescente;2000000
HEAPSORT;d2000000;0.41027;1;Decrescente;2000000
MERGESORT;d30000;0.00187838;1;Decrescente;30000
QUICKSORT;d30000;0.00065853;1;Decrescente;30000
HEAPSORT;d30000;0.00465574;1;Decrescente;30000
MERGESORT;d500;3.2005e-05;1;Decrescente;500
QUICKSORT;d500;7.66e-06;1;Decrescente;500
HEAPSORT;d500;4.7244e-05;1;Decrescente;500
MERGESORT;d5000;0.00030583;1;Decrescente;5000
QUICKSORT;d5000;0.000109204;1;Decrescente;5000
HEAPSORT;d5000;0.00078683;1;Decrescente;5000
MERGESORT;d50000;0.0033156;1;Decrescente;50000
QUICKSORT;d50000;0.000908464;1;Decrescente;50000
HEAPSORT;d50000;0.00818626;1;Decrescente;50000
MERGESORT;d500000;0.0339907;1;Decrescente;500000
QUICKSORT;d500000;0.00921436;1;Decrescente;500000
HEAPSORT;d500000;0.0946761;1;Decrescente;500000
MERGESORT;d7500;0.000431185;1;Decrescente;7500
QUICKSORT;d7500;0.000159506;1;Decrescente;7500
HEAPSORT;d7500;0.0010365;1;Decrescente;7500
MERGESORT;d75000;0.00507026;1;Decrescente;75000
QUICKSORT;d75000;0.00116375;1;Decrescente;75000
HEAPSORT;d75000;0.0127891;1;Decrescente;75000
MERGESORT;d750000;0.0513575;1;Decrescente;750000
QUICKSORT;d750000;0.0139244;1;Decrescente;750000
HEAPSORT;d750000;0.145751;1;Decrescente;750000
MERGESORT;d100;5.713e-06;2;Decrescente;100
QUICKSORT;d100;1.657e-06;2;Decrescente;100
HEAPSORT;d100;6.367e-06;2;Decrescente;100
MERGESORT;d1000;5.0036e-05;2;Decrescente;1000
QUICKSORT;d1000;1.7472e-05;2;Decrescente;1000
HEAPSORT;d1000;0.000108845;2;Decrescente;1000
MERGESORT;d10000;0.000598943;2;Decrescente;10000
QUICKSORT;d10000;0.000175199;2;Decrescente;10000
HEAPSORT;d10000;0.00144758;2;Decrescente;10000
MERGESORT;d100000;0.00623538;2;Decrescente;100000
QUICKSORT;d100000;0.0019785;2;Decrescente;100000
HEAPSORT;d100000;0.0174203;2;Decrescente;100000
MERGESORT;d1000000;0.0689639;2;Decrescente;1000000
QUICKSORT;d1000000;0.0195131;2;Decrescente;1000000
HEAPSORT;d1000000;0.195399;2;Decrescente;1000000
MERGESORT;d1250000;0.088552;2;Decrescente;1250000
QUICKSORT;d1250000;0.0251648;2;Decrescente;1250000
HEAPSORT;d1250000;0.247059;2;Decrescente;1250000
MERGESORT;d15000;0.000914746;2;Decrescente;15000
QUICKSORT;d15000;0.000367935;2;Decrescente;15000
HEAPSORT;d15000;0.00226304;2;Decrescente;15000
MERGESORT;d1500000;0.102778;2;Decrescente;1500000
QUICKSORT;d1500000;0.0313211;2;Decrescente;1500000
HEAPSORT;d1500000;0.300925;2;Decrescente;1500000
MERGESORT;d200;1.0501e-05;2;Decrescente;200
QUICKSORT;d200;3.51e-06;2;Decrescente;200
HEAPSORT;d200;1.5957e-05;2;Decrescente;200
MERGESORT;d2000;0.000121954;2;Decrescente;2000
QUICKSORT;d2000;3.6918e-05;2;Decrescente;2000
HEAPSORT;d2000;0.000231518;2;Decrescente;2000
MERGESORT;d200000;0.0138896;2;Decrescente;200000
QUICKSORT;d200000;0.00390335;2;Decrescente;200000
HEAPSORT;d200000;0.035739;2;Decrescente;200000
MERGESORT;d2000000;0.139448;2;Decrescente;2000000
QUICKSORT;d2000000;0.0410134;2;Decrescente;2000000
HEAPSORT;d2000000;0.407129;2;Decrescente;2000000
MERGESORT;d30000;0.00182791;2;Decrescente;30000
QUICKSORT;d30000;0.000672584;2;Decrescente;30000
HEAPSORT;d30000;0.00560259;2;Decrescente;30000
MERGESORT;d500;2.4312e-05;2;Decrescente;500
QUICKSORT;d500;7.721e-06;2;Decrescente;500
HEAPSORT;d500;4.8105e-05;2;Decrescente;500
MERGESORT;d5000;0.000284517;2;Decrescente;5000
QUICKSORT;d5000;0.000103089;2;Decrescente;5000
HEAPSORT;d5000;0.00062309;2;Decrescente;5000
MERGESORT;d50000;0.00323999;2;Decrescente;50000
QUICKSORT;d50000;0.000790203;2;Decrescente;50000
HEAPSORT;d50000;0.00813135;2;Decrescente;50000
MERGESORT;d500000;0.0331235;2;Decrescente;500000
QUICKSORT;d500000;0.00836154;2;Decrescente;500000
HEAPSORT;d500000;0.0934757;2;Decrescente;500000
MERGESORT;d7500;0.000463665;2;Decrescente;7500
QUICKSORT;d7500;0.000125149;2;Decrescente;7500
HEAPSORT;d7500;0.00102715;2;Decrescente;7500
MERGESORT;d75000;0.00465333;2;Decrescente;75000
QUICKSORT;d75000;0.00115919;2;Decrescente;75000
HEAPSORT;d75000;0.0124256;2;Decrescente;75000
MERGESORT;d750000;0.0496701;2;Decrescente;750000
QUICKSORT;d750000;0.0138223;2;Decrescente;750000
HEAPSORT;d750000;0.149364;2;Decrescente;750000
MERGESORT;d100;6.433e-06;3;Decrescente;100
QUICKSORT;d100;2.186e-06;3;Decrescente;100
HEAPSORT;d100;6.33e-06;3;Decrescente;100
MERGESORT;d1000;5.0398e-05;3;Decrescente;1000
QUICKSORT;d1000;1.6146e-05;3;Decrescente;1000
HEAPSORT;d1000;0.000109658;3;Decrescente;1000
MERGESORT;d10000;0.00062932;3;Decrescente;10000
QUICKSORT;d10000;0.000177995;3;Decrescente;10000
HEAPSORT;d10000;0.00145239;3;Decrescente;10000
