Método;Entrada;Tempo;Execução;TipoOrdenacao;N
MERGESORT;o100;5.936e-06;1;Ordenado;100
QUICKSORT;o100;1.799e-06;1;Ordenado;100
HEAPSORT;o100;7.67e-06;1;Ordenado;100
MERGESORT;o1000;4.6285e-05;1;Ordenado;1000
QUICKSORT;o1000;1.7618e-05;1;Ordenado;1000
HEAPSORT;o1000;0.000112805;1;Ordenado;1000
MERGESORT;o10000;0.000530264;1;Ordenado;10000
QUICKSORT;o10000;0.000219326;1;Ordenado;10000
HEAPSORT;o10000;0.00145651;1;Ordenado;10000
MERGESORT;o100000;0.00593805;1;Ordenado;100000
QUICKSORT;o100000;0.00211692;1;Ordenado;100000
HEAPSORT;o100000;0.0177107;1;Ordenado;100000
MERGESORT;o1000000;0.0672018;1;Ordenado;1000000
QUICKSORT;o1000000;0.0201091;1;Ordenado;1000000
HEAPSORT;o1000000;0.185186;1;Ordenado;1000000
MERGESORT;o1250000;0.0881492;1;Ordenado;1250000
QUICKSORT;o1250000;0.0233947;1;Ordenado;1250000
HEAPSORT;o1250000;0.230001;1;Ordenado;1250000
MERGESORT;o15000;0.000799605;1;Ordenado;15000
QUICKSORT;o15000;0.000376292;1;Ordenado;15000
HEAPSORT;o15000;0.0023799;1;Ordenado;15000
MERGESORT;o1500000;0.100973;1;Ordenado;1500000
QUICKSORT;o1500000;0.0345281;1;Ordenado;1500000
HEAPSORT;o1500000;0.28006;1;Ordenado;1500000
MERGESORT;o200;1.0012e-05;1;Ordenado;200
QUICKSORT;o200;3.607e-06;1;Ordenado;200
HEAPSORT;o200;1.8267e-05;1;Ordenado;200
MERGESORT;o2000;9.4474e-05;1;Ordenado;2000
QUICKSORT;o2000;3.5751e-05;1;Ordenado;2000
HEAPSORT;o2000;0.000250766;1;Ordenado;2000
MERGESORT;o200000;0.012856;1;Ordenado;200000
QUICKSORT;o200000;0.00393213;1;Ordenado;200000
HEAPSORT;o200000;0.0351184;1;Ordenado;200000
MERGESORT;o2000000;0.137816;1;Ordenado;2000000
QUICKSORT;o2000000;0.0393193;1;Ordenado;2000000
HEAPSORT;o2000000;0.378741;1;Ordenado;2000000
MERGESORT;o30000;0.0017572;1;Ordenado;30000
QUICKSORT;o30000;0.000733618;1;Ordenado;30000
HEAPSORT;o30000;0.00477569;1;Ordenado;30000
MERGESORT;o500;2.3248e-05;1;Ordenado;500
QUICKSORT;o500;8.175e-06;1;Ordenado;500
HEAPSORT;o500;5.3091e-05;1;Ordenado;500
MERGESORT;o5000;0.00025417;1;Ordenado;5000
QUICKSORT;o5000;0.000108778;1;Ordenado;5000
HEAPSORT;o5000;0.000700952;1;Ordenado;5000
MERGESORT;o50000;0.00279939;1;Ordenado;50000
QUICKSORT;o50000;0.00110829;1;Ordenado;50000
HEAPSORT;o50000;0.00879245;1;Ordenado;50000
MERGESORT;o500000;0.0329037;1;Ordenado;500000
QUICKSORT;o500000;0.00813858;1;Ordenado;500000
HEAPSORT;o500000;0.090319;1;Ordenado;500000
MERGESORT;o7500;0.000401364;1;Ordenado;7500
QUICKSORT;o7500;0.000173895;1;Ordenado;7500
HEAPSORT;o7500;0.00108826;1;Ordenado;7500
MERGESORT;o75000;0.00450478;1;Ordenado;75000
QUICKSORT;o75000;0.00147125;1;Ordenado;75000
HEAPSORT;o75000;0.0129549;1;Ordenado;75000
MERGESORT;o750000;0.0500675;1;Ordenado;750000
QUICKSORT;o750000;0.0135665;1;Ordenado;750000
HEAPSORT;o750000;0.136138;1;Ordenado;750000
MERGESORT;o100;5.809e-06;2;Ordenado;100
QUICKSORT;o100;2.096e-06;2;Ordenado;100
HEAPSORT;o100;7.975e-06;2;Ordenado;100
MERGESORT;o1000;4.7715e-05;2;Ordenado;1000
QUICKSORT;o1000;1.7828e-05;2;Ordenado;1000
HEAPSORT;o1000;0.000115005;2;Ordenado;1000
MERGESORT;o10000;0.000584439;2;Ordenado;10000
QUICKSORT;o10000;0.000207863;2;Ordenado;10000
HEAPSORT;o10000;0.00148558;2;Ordenado;10000
MERGESORT;o100000;0.00614026;2;Ordenado;100000
QUICKSORT;o100000;0.00219039;2;Ordenado;100000
HEAPSORT;o100000;0.017738;2;Ordenado;100000
MERGESORT;o1000000;0.0678083;2;Ordenado;1000000
QUICKSORT;o1000000;0.0178066;2;Ordenado;1000000
HEAPSORT;o1000000;0.183897;2;Ordenado;1000000
MERGESORT;o1250000;0.0886347;2;Ordenado;1250000
QUICKSORT;o1250000;0.0225793;2;Ordenado;1250000
HEAPSORT;o1250000;0.236245;2;Ordenado;1250000
MERGESORT;o15000;0.000809373;2;Ordenado;15000
QUICKSORT;o15000;0.000373992;2;Ordenado;15000
HEAPSORT;o15000;0.00230416;2;Ordenado;15000
MERGESORT;o1500000;0.101373;2;Ordenado;1500000
QUICKSORT;o1500000;0.0287529;2;Ordenado;1500000
HEAPSORT;o1500000;0.281163;2;Ordenado;1500000
MERGESORT;o200;1.0069e-05;2;Ordenado;200
QUICKSORT;o200;3.392e-06;2;Ordenado;200
HEAPSORT;o200;1.5222e-05;2;Ordenado;200
