Método;Entrada;Tempo;Execução;TipoOrdenacao;N
MERGESORT;po100;8.313e-06;1;Preordenado;100
QUICKSORT;po100;3.696e-06;1;Preordenado;100
HEAPSORT;po100;7.901e-06;1;Preordenado;100
MERGESORT;po1000;5.3813e-05;1;Preordenado;1000
QUICKSORT;po1000;1.762e-05;1;Preordenado;1000
HEAPSORT;po1000;0.000117393;1;Preordenado;1000
MERGESORT;po10000;0.000539177;1;Preordenado;10000
QUICKSORT;po10000;0.000212395;1;Preordenado;10000
HEAPSORT;po10000;0.00176934;1;Preordenado;10000
MERGESORT;po100000;0.00634167;1;Preordenado;100000
QUICKSORT;po100000;0.00205267;1;Preordenado;100000
HEAPSORT;po100000;0.017069;1;Preordenado;100000
MERGESORT;po1000000;0.0671734;1;Preordenado;1000000
QUICKSORT;po1000000;0.0183336;1;Preordenado;1000000
HEAPSORT;po1000000;0.18427;1;Preordenado;1000000
MERGESORT;po1250000;0.0863634;1;Preordenado;1250000
QUICKSORT;po1250000;0.0251773;1;Preordenado;1250000
HEAPSORT;po1250000;0.233067;1;Preordenado;1250000
MERGESORT;po15000;0.000859133;1;Preordenado;15000
QUICKSORT;po15000;0.000392335;1;Preordenado;15000
HEAPSORT;po15000;0.00231323;1;Preordenado;15000
MERGESORT;po1500000;0.103928;1;Preordenado;1500000
QUICKSORT;po1500000;0.0293021;1;Preordenado;1500000
HEAPSORT;po1500000;0.280781;1;Preordenado;1500000
MERGESORT;po200;1.417e-05;1;Preordenado;200
QUICKSORT;po200;5.884e-06;1;Preordenado;200
HEAPSORT;po200;1.882e-05;1;Preordenado;200
MERGESORT;po2000;0.000103234;1;Preordenado;2000
QUICKSORT;po2000;4.4528e-05;1;Preordenado;2000
HEAPSORT;po2000;0.000256398;1;Preordenado;2000
MERGESORT;po200000;0.0131526;1;Preordenado;200000
QUICKSORT;po200000;0.00361127;1;Preordenado;200000
HEAPSORT;po200000;0.0353334;1;Preordenado;200000
MERGESORT;po2000000;0.137545;1;Preordenado;2000000
QUICKSORT;po2000000;0.0395053;1;Preordenado;2000000
HEAPSORT;po2000000;0.376608;1;Preordenado;2000000
MERGESORT;po30000;0.00168297;1;Preordenado;30000
QUICKSORT;po30000;0.000714236;1;Preordenado;30000
HEAPSORT;po30000;0.00498093;1;Preordenado;30000
MERGESORT;po500;2.9236e-05;1;Preordenado;500
QUICKSORT;po500;1.1397e-05;1;Preordenado;500
HEAPSORT;po500;5.2381e-05;1;Preordenado;500
MERGESORT;po5000;0.000265798;1;Preordenado;5000
QUICKSORT;po5000;0.000119021;1;Preordenado;5000
HEAPSORT;po5000;0.000783085;1;Preordenado;5000
MERGESORT;po50000;0.00284169;1;Preordenado;50000
QUICKSORT;po50000;0.00109344;1;Preordenado;50000
HEAPSORT;po50000;0.00907258;1;Preordenado;50000
MERGESORT;po500000;0.0328894;1;Preordenado;500000
QUICKSORT;po500000;0.00949988;1;Preordenado;500000
HEAPSORT;po500000;0.0889614;1;Preordenado;500000
MERGESORT;po7500;0.000412745;1;Preordenado;7500
QUICKSORT;po7500;0.000167262;1;Preordenado;7500
HEAPSORT;po7500;0.0010809;1;Preordenado;7500
MERGESORT;po75000;0.00449622;1;Preordenado;75000
QUICKSORT;po75000;0.00126182;1;Preordenado;75000
HEAPSORT;po75000;0.0128206;1;Preordenado;75000
MERGESORT;po750000;0.0484258;1;Preordenado;750000
QUICKSORT;po750000;0.0140101;1;Preordenado;750000
HEAPSORT;po750000;0.13656;1;Preordenado;750000
MERGESORT;po100;8.01e-06;2;Preordenado;100
QUICKSORT;po100;3.7e-06;2;Preordenado;100
HEAPSORT;po100;8.033e-06;2;Preordenado;100
MERGESORT;po1000;5.504e-05;2;Preordenado;1000
QUICKSORT;po1000;2.4415e-05;2;Preordenado;1000
HEAPSORT;po1000;0.000115577;2;Preordenado;1000
MERGESORT;po10000;0.000529294;2;Preordenado;10000
QUICKSORT;po10000;0.000251554;2;Preordenado;10000
HEAPSORT;po10000;0.00167216;2;Preordenado;10000
MERGESORT;po100000;0.00596088;2;Preordenado;100000
QUICKSORT;po100000;0.00202102;2;Preordenado;100000
HEAPSORT;po100000;0.0173895;2;Preordenado;100000
MERGESORT;po1000000;0.0674892;2;Preordenado;1000000
QUICKSORT;po1000000;0.0199734;2;Preordenado;1000000
HEAPSORT;po1000000;0.185549;2;Preordenado;1000000
MERGESORT;po1250000;0.086127;2;Preordenado;1250000
QUICKSORT;po1250000;0.0243798;2;Preordenado;1250000
HEAPSORT;po1250000;0.235108;2;Preordenado;1250000
MERGESORT;po15000;0.000804919;2;Preordenado;15000
QUICKSORT;po15000;0.000389236;2;Preordenado;15000
HEAPSORT;po15000;0.00232849;2;Preordenado;15000
MERGESORT;po1500000;0.102953;2;Preordenado;1500000
QUICKSORT;po1500000;0.0290518;2;Preordenado;1500000
HEAPSORT;po1500000;0.280435;2;Preordenado;1500000
MERGESORT;po200;1.4068e-05;2;Preordenado;200
QUICKSORT;po200;5.827e-06;2;Preordenado;200
HEAPSORT;po200;1.7928e-05;2;Preordenado;200
MERGESORT;po2000;0.00010258;2;Preordenado;2000
QUICKSORT;po2000;4.2943e-05;2;Preordenado;2000
HEAPSORT;po2000;0.000255474;2;Preordenado;2000
MERGESORT;po200000;0.0126546;2;Preordenado;200000
QUICKSORT;po200000;0.00411385;2;Preordenado;200000
HEAPSORT;po200000;0.0349904;2;Preordenado;200000
MERGESORT;po2000000;0.140173;2;Preordenado;2000000
QUICKSORT;po2000000;0.0382746;2;Preordenado;2000000
HEAPSORT;po2000000;0.380869;2;Preordenado;2000000
MERGESORT;po30000;0.00162701;2;Preordenado;30000
QUICKSORT;po30000;0.000750217;2;Preordenado;30000
HEAPSORT;po30000;0.00533435;2;Preordenado;30000
MERGESORT;po500;2.8684e-05;2;Preordenado;500
QUICKSORT;po500;1.2654e-05;2;Preordenado;500
HEAPSORT;po500;5.3018e-05;2;Preordenado;500
MERGESORT;po5000;0.000257949;2;Preordenado;5000
QUICKSORT;po5000;0.000116457;2;Preordenado;5000
HEAPSORT;po5000;0.000718635;2;Preordenado;5000
MERGESORT;po50000;0.00333973;2;Preordenado;50000
QUICKSORT;po50000;0.00113184;2;Preordenado;50000
HEAPSORT;po50000;0.00862775;2;Preordenado;50000
MERGESORT;po500000;0.0389095;2;Preordenado;500000
QUICKSORT;po500000;0.00898794;2;Preordenado;500000
HEAPSORT;po500000;0.088954;2;Preordenado;500000
MERGESORT;po7500;0.000485856;2;Preordenado;7500
QUICKSORT;po7500;0.00018679;2;Preordenado;7500
HEAPSORT;po7500;0.00108979;2;Preordenado;7500
MERGESORT;po75000;0.00443821;2;Preordenado;75000
QUICKSORT;po75000;0.00185015;2;Preordenado;75000
HEAPSORT;po75000;0.0138403;2;Preordenado;75000
MERGESORT;po750000;0.0511703;2;Preordenado;750000
QUICKSORT;po750000;0.0161399;2;Preordenado;750000
HEAPSORT;po750000;0.138306;2;Preordenado;750000
MERGESORT;po100;8.051e-06;3;Preordenado;100
QUICKSORT;po100;4.254e-06;3;Preordenado;100
HEAPSORT;po100;8.006e-06;3;Preordenado;100
MERGESORT;po1000;5.4317e-05;3;Preordenado;1000
QUICKSORT;po1000;2.0093e-05;3;Preordenado;1000
HEAPSORT;po1000;0.000115834;3;Preordenado;1000
MERGESORT;po10000;0.000549518;3;Preordenado;10000
QUICKSORT;po10000;0.000213301;3;Preordenado;10000
HEAPSORT;po10000;0.00152347;3;Preordenado;10000
MERGESORT;po100000;0.00591067;3;Preordenado;100000
QUICKSORT;po100000;0.00213149;3;Preordenado;100000
HEAPSORT;po100000;0.0177151;3;Preordenado;100000
MERGESORT;po1000000;0.069227;3;Preordenado;1000000
QUICKSORT;po1000000;0.0201459;3;Preordenado;1000000
HEAPSORT;po1000000;0.184907;3;Preordenado;1000000
MERGESORT;po1250000;0.0868585;3;Preordenado;1250000
QUICKSORT;po1250000;0.0240717;3;Preordenado;1250000
HEAPSORT;po1250000;0.229532;3;Preordenado;1250000
MERGESORT;po15000;0.000800131;3;Preordenado;15000
QUICKSORT;po15000;0.000408719;3;Preordenado;15000
HEAPSORT;po15000;0.00245346;3;Preordenado;15000
MERGESORT;po1500000;0.103385;3;Preordenado;1500000
QUICKSORT;po1500000;0.027665;3;Preordenado;1500000
HEAPSORT;po1500000;0.279995;3;Preordenado;1500000
MERGESORT;po200;1.7255e-05;3;Preordenado;200
QUICKSORT;po200;5.239e-06;3;Preordenado;200
HEAPSORT;po200;1.8354e-05;3;Preordenado;200
MERGESORT;po2000;0.000109556;3;Preordenado;2000
QUICKSORT;po2000;4.0267e-05;3;Preordenado;2000
HEAPSORT;po2000;0.000262072;3;Preordenado;2000
MERGESORT;po200000;0.0136368;3;Preordenado;200000
QUICKSORT;po200000;0.00379601;3;Preordenado;200000
HEAPSORT;po200000;0.0363578;3;Preordenado;200000
MERGESORT;po2000000;0.138967;3;Preordenado;2000000
QUICKSORT;po2000000;0.0398085;3;Preordenado;2000000
HEAPSORT;po2000000;0.380735;3;Preordenado;2000000
MERGESORT;po30000;0.00170782;3;Preordenado;30000
QUICKSORT;po30000;0.000722853;3;Preordenado;30000
HEAPSORT;po30000;0.00486937;3;Preordenado;30000
MERGESORT;po500;2.9809e-05;3;Preordenado;500
QUICKSORT;po500;1.1898e-05;3;Preordenado;500
HEAPSORT;po500;5.3039e-05;3;Preordenado;500
MERGESORT;po5000;0.000272759;3;Preordenado;5000
QUICKSORT;po5000;0.000115704;3;Preordenado;5000
HEAPSORT;po5000;0.000704533;3;Preordenado;5000
MERGESORT;po50000;0.00285182;3;Preordenado;50000
QUICKSORT;po50000;0.00112927;3;Preordenado;50000
HEAPSORT;po50000;0.00878302;3;Preordenado;50000
MERGESORT;po500000;0.0368861;3;Preordenado;500000
QUICKSORT;po500000;0.00905702;3;Preordenado;500000
HEAPSORT;po500000;0.0901919;3;Preordenado;500000
MERGESORT;po7500;0.000406156;3;Preordenado;7500
QUICKSORT;po7500;0.000185215;3;Preordenado;7500
HEAPSORT;po7500;0.00108605;3;Preordenado;7500
MERGESORT;po75000;0.00443835;3;Preordenado;75000
QUICKSORT;po75000;0.00164779;3;Preordenado;75000
HEAPSORT;po75000;0.0134854;3;Preordenado;75000
MERGESORT;po750000;0.051408;3;Preordenado;750000
QUICKSORT;po750000;0.0150436;3;Preordenado;750000
HEAPSORT;po750000;0.13872;3;Preordenado;750000
MERGESORT;po100;7.868e-06;4;Preordenado;100
QUICKSORT;po100;4.044e-06;4;Preordenado;100
HEAPSORT;po100;7.486e-06;4;Preordenado;100
MERGESORT;po1000;5.6391e-05;4;Preordenado;1000
QUICKSORT;po1000;2.1611e-05;4;Preordenado;1000
HEAPSORT;po1000;0.000115076;4;Preordenado;1000
MERGESORT;po10000;0.000524777;4;Preordenado;10000
QUICKSORT;po10000;0.000248971;4;Preordenado;10000
HEAPSORT;po10000;0.00150831;4;Preordenado;10000
MERGESORT;po100000;0.00623147;4;Preordenado;100000
QUICKSORT;po100000;0.00146928;4;Preordenado;100000
HEAPSORT;po100000;0.0177281;4;Preordenado;100000
MERGESORT;po1000000;0.0680826;4;Preordenado;1000000
QUICKSORT;po1000000;0.0192361;4;Preordenado;1000000
HEAPSORT;po1000000;0.18295;4;Preordenado;1000000
MERGESORT;po1250000;0.0845729;4;Preordenado;1250000
QUICKSORT;po1250000;0.0258009;4;Preordenado;1250000
HEAPSORT;po1250000;0.231234;4;Preordenado;1250000
MERGESORT;po15000;0.000786164;4;Preordenado;15000
QUICKSORT;po15000;0.000310037;4;Preordenado;15000
HEAPSORT;po15000;0.00232375;4;Preordenado;15000
MERGESORT;po1500000;0.102409;4;Preordenado;1500000
QUICKSORT;po1500000;0.0298529;4;Preordenado;1500000
HEAPSORT;po1500000;0.276283;4;Preordenado;1500000
MERGESORT;po200;1.3653e-05;4;Preordenado;200
QUICKSORT;po200;5.131e-06;4;Preordenado;200
HEAPSORT;po200;1.7755e-05;4;Preordenado;200
MERGESORT;po2000;0.000101319;4;Preordenado;2000
QUICKSORT;po2000;4.4779e-05;4;Preordenado;2000
HEAPSORT;po2000;0.000255818;4;Preordenado;2000
MERGESORT;po200000;0.0132765;4;Preordenado;200000
QUICKSORT;po200000;0.00417311;4;Preordenado;200000
HEAPSORT;po200000;0.0352587;4;Preordenado;200000
MERGESORT;po2000000;0.136882;4;Preordenado;2000000
QUICKSORT;po2000000;0.0375382;4;Preordenado;2000000
HEAPSORT;po2000000;0.373312;4;Preordenado;2000000
MERGESORT;po30000;0.00175402;4;Preordenado;30000
QUICKSORT;po30000;0.000623858;4;Preordenado;30000
HEAPSORT;po30000;0.00505775;4;Preordenado;30000
MERGESORT;po500;2.7906e-05;4;Preordenado;500
QUICKSORT;po500;1.3172e-05;4;Preordenado;500
HEAPSORT;po500;5.4693e-05;4;Preordenado;500
MERGESORT;po5000;0.00026041;4;Preordenado;5000
QUICKSORT;po5000;0.000119498;4;Preordenado;5000
HEAPSORT;po5000;0.000709035;4;Preordenado;5000
MERGESORT;po50000;0.00282848;4;Preordenado;50000
QUICKSORT;po50000;0.00108268;4;Preordenado;50000
HEAPSORT;po50000;0.00849234;4;Preordenado;50000
MERGESORT;po500000;0.0330397;4;Preordenado;500000
QUICKSORT;po500000;0.0101833;4;Preordenado;500000
HEAPSORT;po500000;0.0949317;4;Preordenado;500000
MERGESORT;po7500;0.000391315;4;Preordenado;7500
QUICKSORT;po7500;0.000193307;4;Preordenado;7500
HEAPSORT;po7500;0.0011179;4;Preordenado;7500
MERGESORT;po75000;0.00429915;4;Preordenado;75000
QUICKSORT;po75000;0.00112351;4;Preordenado;75000
HEAPSORT;po75000;0.0122705;4;Preordenado;75000
MERGESORT;po750000;0.0494469;4;Preordenado;750000
QUICKSORT;po750000;0.0160335;4;Preordenado;750000
HEAPSORT;po750000;0.134423;4;Preordenado;750000
MERGESORT;po100;7.861e-06;5;Preordenado;100
QUICKSORT;po100;3.852e-06;5;Preordenado;100
HEAPSORT;po100;8.128e-06;5;Preordenado;100
MERGESORT;po1000;5.5622e-05;5;Preordenado;1000
QUICKSORT;po1000;2.095e-05;5;Preordenado;1000
HEAPSORT;po1000;0.00011618;5;Preordenado;1000
MERGESORT;po10000;0.000549991;5;Preordenado;10000
QUICKSORT;po10000;0.00025071;5;Preordenado;10000
HEAPSORT;po10000;0.00148813;5;Preordenado;10000
MERGESORT;po100000;0.00590342;5;Preordenado;100000
QUICKSORT;po100000;0.0021288;5;Preordenado;100000
HEAPSORT;po100000;0.0182282;5;Preordenado;100000
MERGESORT;po1000000;0.0663802;5;Preordenado;1000000
QUICKSORT;po1000000;0.0207693;5;Preordenado;1000000
HEAPSORT;po1000000;0.183074;5;Preordenado;1000000
MERGESORT;po1250000;0.0852077;5;Preordenado;1250000
QUICKSORT;po1250000;0.0227737;5;Preordenado;1250000
HEAPSORT;po1250000;0.235287;5;Preordenado;1250000
MERGESORT;po15000;0.00089664;5;Preordenado;15000
QUICKSORT;po15000;0.000390079;5;Preordenado;15000
HEAPSORT;po15000;0.0023106;5;Preordenado;15000
MERGESORT;po1500000;0.102553;5;Preordenado;1500000
QUICKSORT;po1500000;0.0298327;5;Preordenado;1500000
HEAPSORT;po1500000;0.282071;5;Preordenado;1500000
MERGESORT;po200;1.7025e-05;5;Preordenado;200
QUICKSORT;po200;5.33e-06;5;Preordenado;200
HEAPSORT;po200;1.8112e-05;5;Preordenado;200
MERGESORT;po2000;0.000101335;5;Preordenado;2000
QUICKSORT;po2000;4.1252e-05;5;Preordenado;2000
HEAPSORT;po2000;0.00025672;5;Preordenado;2000
MERGESORT;po200000;0.0130949;5;Preordenado;200000
QUICKSORT;po200000;0.00382888;5;Preordenado;200000
HEAPSORT;po200000;0.035906;5;Preordenado;200000
MERGESORT;po2000000;0.138322;5;Preordenado;2000000
QUICKSORT;po2000000;0.0391686;5;Preordenado;2000000
HEAPSORT;po2000000;0.378637;5;Preordenado;2000000
MERGESORT;po30000;0.00170204;5;Preordenado;30000
QUICKSORT;po30000;0.000722362;5;Preordenado;30000
HEAPSORT;po30000;0.00500865;5;Preordenado;30000
MERGESORT;po500;2.865e-05;5;Preordenado;500
QUICKSORT;po500;1.2322e-05;5;Preordenado;500
