Método;Entrada;Tempo;Execução
MERGESORT;a100;8.5e-06;1
QUICKSORT;a100;5.298e-06;1
HEAPSORT;a100;7.903e-06;1
MERGESORT;a1000;9.2011e-05;1
QUICKSORT;a1000;6.5777e-05;1
HEAPSORT;a1000;0.000135238;1
MERGESORT;a10000;0.00105546;1
QUICKSORT;a10000;0.000620059;1
HEAPSORT;a10000;0.0017559;1
MERGESORT;a100000;0.0125065;1
QUICKSORT;a100000;0.00736723;1
HEAPSORT;a100000;0.0226386;1
MERGESORT;a1000000;0.128929;1
QUICKSORT;a1000000;0.0695575;1
HEAPSORT;a1000000;0.259033;1
MERGESORT;a1250000;0.163709;1
QUICKSORT;a1250000;0.0852653;1
HEAPSORT;a1250000;0.333117;1
MERGESORT;a15000;0.0016278;1
QUICKSORT;a15000;0.0011964;1
HEAPSORT;a15000;0.00277251;1
MERGESORT;a1500000;0.195392;1
QUICKSORT;a1500000;0.102992;1
HEAPSORT;a1500000;0.405258;1
MERGESORT;a200;1.7049e-05;1
QUICKSORT;a200;1.1613e-05;1
HEAPSORT;a200;1.8137e-05;1
MERGESORT;a2000;0.000203985;1
QUICKSORT;a2000;0.000140455;1
HEAPSORT;a2000;0.000283412;1
MERGESORT;a200000;0.0242963;1
QUICKSORT;a200000;0.0130888;1
HEAPSORT;a200000;0.0466661;1
MERGESORT;a2000000;0.263435;1
QUICKSORT;a2000000;0.137855;1
HEAPSORT;a2000000;0.555499;1
MERGESORT;a30000;0.00348416;1
QUICKSORT;a30000;0.00219282;1
HEAPSORT;a30000;0.00608276;1
MERGESORT;a500;4.2908e-05;1
QUICKSORT;a500;2.8991e-05;1
HEAPSORT;a500;5.5851e-05;1
MERGESORT;a5000;0.000513305;1
QUICKSORT;a5000;0.000372307;1
HEAPSORT;a5000;0.000887111;1
MERGESORT;a50000;0.00598319;1
QUICKSORT;a50000;0.00340276;1
HEAPSORT;a50000;0.0105765;1
MERGESORT;a500000;0.0640112;1
QUICKSORT;a500000;0.0365337;1
HEAPSORT;a500000;0.127281;1
MERGESORT;a7500;0.00077625;1
QUICKSORT;a7500;0.000536693;1
HEAPSORT;a7500;0.0012281;1
MERGESORT;a75000;0.00922426;1
QUICKSORT;a75000;0.00535918;1
HEAPSORT;a75000;0.01649;1
MERGESORT;a750000;0.0963579;1
QUICKSORT;a750000;0.0529752;1
HEAPSORT;a750000;0.194033;1
MERGESORT;d100;6.171e-06;1
QUICKSORT;d100;1.786e-06;1
HEAPSORT;d100;7.002e-06;1
MERGESORT;d1000;4.9865e-05;1
QUICKSORT;d1000;1.6533e-05;1
HEAPSORT;d1000;0.000110594;1
MERGESORT;d10000;0.000633511;1
QUICKSORT;d10000;0.00022064;1
HEAPSORT;d10000;0.00141828;1
MERGESORT;d100000;0.00651682;1
QUICKSORT;d100000;0.00213455;1
HEAPSORT;d100000;0.0170693;1
MERGESORT;d1000000;0.0691937;1
QUICKSORT;d1000000;0.0188421;1
HEAPSORT;d1000000;0.199078;1
MERGESORT;d1250000;0.0864988;1
QUICKSORT;d1250000;0.0250192;1
HEAPSORT;d1250000;0.251504;1
MERGESORT;d15000;0.000926108;1
QUICKSORT;d15000;0.000286915;1
HEAPSORT;d15000;0.0022634;1
MERGESORT;d1500000;0.105226;1
QUICKSORT;d1500000;0.0317407;1
HEAPSORT;d1500000;0.304483;1
MERGESORT;d200;1.0447e-05;1
QUICKSORT;d200;7.472e-06;1
HEAPSORT;d200;3.7724e-05;1
MERGESORT;d2000;0.000105689;1
QUICKSORT;d2000;3.7155e-05;1
HEAPSORT;d2000;0.000244485;1
MERGESORT;d200000;0.0133038;1
QUICKSORT;d200000;0.00371883;1
HEAPSORT;d200000;0.0366987;1
MERGESORT;d2000000;0.140206;1
QUICKSORT;d2000000;0.0396283;1
HEAPSORT;d2000000;0.41027;1
MERGESORT;d30000;0.00187838;1
QUICKSORT;d30000;0.00065853;1
HEAPSORT;d30000;0.00465574;1
MERGESORT;d500;3.2005e-05;1
QUICKSORT;d500;7.66e-06;1
HEAPSORT;d500;4.7244e-05;1
MERGESORT;d5000;0.00030583;1
QUICKSORT;d5000;0.000109204;1
HEAPSORT;d5000;0.00078683;1
MERGESORT;d50000;0.0033156;1
QUICKSORT;d50000;0.000908464;1
