Método;Entrada;Tempo;Execução;TipoOrdenacao;N
MERGESORT;a100;8.5e-06;1;Aleatorio;100
QUICKSORT;a100;5.298e-06;1;Aleatorio;100
HEAPSORT;a100;7.903e-06;1;Aleatorio;100
MERGESORT;a1000;9.2011e-05;1;Aleatorio;1000
QUICKSORT;a1000;6.5777e-05;1;Aleatorio;1000
HEAPSORT;a1000;0.000135238;1;Aleatorio;1000
MERGESORT;a10000;0.00105546;1;Aleatorio;10000
QUICKSORT;a10000;0.000620059;1;Aleatorio;10000
HEAPSORT;a10000;0.0017559;1;Aleatorio;10000
MERGESORT;a100000;0.0125065;1;Aleatorio;100000
QUICKSORT;a100000;0.00736723;1;Aleatorio;100000
HEAPSORT;a100000;0.0226386;1;Aleatorio;100000
MERGESORT;a1000000;0.128929;1;Aleatorio;1000000
QUICKSORT;a1000000;0.0695575;1;Aleatorio;1000000
HEAPSORT;a1000000;0.259033;1;Aleatorio;1000000
MERGESORT;a1250000;0.163709;1;Aleatorio;1250000
QUICKSORT;a1250000;0.0852653;1;Aleatorio;1250000
HEAPSORT;a1250000;0.333117;1;Aleatorio;1250000
MERGESORT;a15000;0.0016278;1;Aleatorio;15000
QUICKSORT;a15000;0.0011964;1;Aleatorio;15000
HEAPSORT;a15000;0.00277251;1;Aleatorio;15000
MERGESORT;a1500000;0.195392;1;Aleatorio;1500000
QUICKSORT;a1500000;0.102992;1;Aleatorio;1500000
HEAPSORT;a1500000;0.405258;1;Aleatorio;1500000
MERGESORT;a200;1.7049e-05;1;Aleatorio;200
QUICKSORT;a200;1.1613e-05;1;Aleatorio;200
HEAPSORT;a200;1.8137e-05;1;Aleatorio;200
MERGESORT;a2000;0.000203985;1;Aleatorio;2000
QUICKSORT;a2000;0.000140455;1;Aleatorio;2000
HEAPSORT;a2000;0.000283412;1;Aleatorio;2000
MERGESORT;a200000;0.0242963;1;Aleatorio;200000
QUICKSORT;a200000;0.0130888;1;Aleatorio;200000
HEAPSORT;a200000;0.0466661;1;Aleatorio;200000
MERGESORT;a2000000;0.263435;1;Aleatorio;2000000
QUICKSORT;a2000000;0.137855;1;Aleatorio;2000000
HEAPSORT;a2000000;0.555499;1;Aleatorio;2000000
MERGESORT;a30000;0.00348416;1;Aleatorio;30000
QUICKSORT;a30000;0.00219282;1;Aleatorio;30000
HEAPSORT;a30000;0.00608276;1;Aleatorio;30000
MERGESORT;a500;4.2908e-05;1;Aleatorio;500
QUICKSORT;a500;2.8991e-05;1;Aleatorio;500
HEAPSORT;a500;5.5851e-05;1;Aleatorio;500
MERGESORT;a5000;0.000513305;1;Aleatorio;5000
QUICKSORT;a5000;0.000372307;1;Aleatorio;5000
HEAPSORT;a5000;0.000887111;1;Aleatorio;5000
MERGESORT;a50000;0.00598319;1;Aleatorio;50000
QUICKSORT;a50000;0.00340276;1;Aleatorio;50000
HEAPSORT;a50000;0.0105765;1;Aleatorio;50000
MERGESORT;a500000;0.0640112;1;Aleatorio;500000
QUICKSORT;a500000;0.0365337;1;Aleatorio;500000
HEAPSORT;a500000;0.127281;1;Aleatorio;500000
MERGESORT;a7500;0.00077625;1;Aleatorio;7500
QUICKSORT;a7500;0.000536693;1;Aleatorio;7500
HEAPSORT;a7500;0.0012281;1;Aleatorio;7500
MERGESORT;a75000;0.00922426;1;Aleatorio;75000
QUICKSORT;a75000;0.00535918;1;Aleatorio;75000
HEAPSORT;a75000;0.01649;1;Aleatorio;75000
MERGESORT;a750000;0.0963579;1;Aleatorio;750000
