Name,HeapAleatorio,HeapOrdenadoCrescente,HeapParcialmenteOrdenado,HeapOrdenadoDecrescente
100,0.025,0.025,0.025,0.022
200,0.054,0.054,0.058,0.051
500,0.157,0.146,0.145,0.133
1000,0.327,0.291,0.307,0.289
2000,0.688,0.621,0.63,0.581
5000,1.99,1.742,1.704,1.653
7500,3.128,2.936,2.888,2.695
10000,4.096,3.867,3.889,3.923
15000,6.45,5.595,5.662,5.424
30000,14.732,11.698,11.941,11.764
50000,26.326,20.555,20.562,20.214
75000,40.737,32.297,32.441,31.111
100000,53.854,43.866,44.062,45.35
200000,120.091,85.701,86.271,90.777
500000,342.959,220.126,224.067,245.129
750000,524.079,343.114,337.584,368.207
1000000,671.038,466.964,461.563,527.957
1250000,874.476,583.802,581.495,651.647
1500000,1054.728,697.411,706.807,806.139
2000000,1498.042,943.106,946.24,1054.553
