Name,MergeOrdenadoDecrescente,QuickOrdenadoCrescente,HeapOrdenadoCrescente
100,0.02,0.004,0.025
200,0.038,0.008,0.054
500,0.084,0.022,0.146
1000,0.171,0.048,0.291
2000,0.298,0.102,0.621
5000,0.89,0.294,1.742
7500,1.22,0.436,2.936
10000,1.729,0.606,3.867
15000,2.801,0.988,5.595
30000,5.424,1.964,11.698
50000,9.785,3.159,20.555
75000,13.883,4.725,32.297
100000,20.367,6.254,43.866
200000,38.893,13.779,85.701
500000,99.033,34.341,220.126
750000,150.269,55.022,343.114
1000000,211.662,71.985,466.964
1250000,261.402,92.074,583.802
1500000,326.286,110.446,697.411
2000000,412.486,146.427,943.106
