Name,MergeParcialmenteOrdenado,QuickParcialmenteOrdenado,HeapParcialmenteOrdenado
100,0.022,0.008,0.025
200,0.044,0.013,0.058
500,0.088,0.029,0.145
1000,0.168,0.055,0.307
2000,0.287,0.107,0.63
5000,0.834,0.292,1.704
7500,1.077,0.45,2.888
10000,1.565,0.622,3.889
15000,2.247,0.988,5.662
30000,5.058,1.95,11.941
50000,8.417,3.195,20.562
75000,12.973,4.686,32.441
100000,18.992,6.273,44.062
200000,35.934,13.968,86.271
500000,91.51,34.548,224.067
750000,142.383,55.245,337.584
1000000,189.219,72.189,461.563
1250000,243.484,91.988,581.495
1500000,288.623,111.2,706.807
2000000,386.258,145.394,946.24
